,Transmission,Drive,Drive Type,Engine Size,Engine Cylinders,City MPG,Highway MPG,Fuel,Super,Class
912,Automatic,All wheel,-1,2.0,4.0,25.0,34.0,Gas,Turbo,Sedan
913,Automatic,2 wheel,Front,2.5,5.0,21,27.0,Gas,None,Convertible
914,Automatic,2 wheel,Front,3.7,6.0,18,27.0,Gas,None,Sedan
915,Automatic,2 wheel,Front,3.5,6.0,19,27.0,Gas,None,Van
916,Automatic,All wheel,-1,4.0,8.0,16,26.0,Gas,Turbo,Convertible
917,Automatic,2 wheel,Front,1.6,4.0,31,36.0,Gas,None,Suv-crossover
918,Automatic,2 wheel,Front,2.0,4.0,21,31.0,Gas,Turbo,Sedan
919,Manual,4 wheel,-1,3.6,6.0,17,23.0,Gas,None,Suv-crossover
920,Automatic,2 wheel,Rear,6.2,8.0,-1,-1.0,Gas,None,Convertible
921,Automatic,2 wheel,Rear,3.8,6.0,19,27.0,Gas,None,Sedan
922,Automatic,2 wheel,Rear,5.0,8.0,17,24.0,Flexible,None,Truck
923,Automatic,All wheel,-1,3.7,6.0,18,24.0,Gas,None,Sedan
924,Automatic,2 wheel,Rear,3.7,6.0,-1,-1.0,Gas,None,Van
925,Automatic,All wheel,-1,3.0,6.0,-1,-1.0,Gas,Turbo,Convertible
926,Automatic,2 wheel,Front,1.8,4.0,28,36.0,Gas,None,Sedan
927,Automatic,2 wheel,Front,3.6,6.0,19,28.0,Gas,None,Van
928,Automatic,4 wheel,-1,3.2,6.0,18,24.0,Gas,None,Suv-crossover
929,Automatic,4 wheel,-1,3.3,6.0,15,19.0,Gas,None,Suv-crossover
930,Automatic,2 wheel,Rear,2.0,4.0,22,32.0,Gas,Turbo,Convertible
931,Automatic,All wheel,-1,3.5,6.0,18,22.0,Flexible,None,Suv-crossover
932,Automatic,2 wheel,Front,3.6,6.0,17,24.0,Gas,None,Suv-crossover
933,Automatic,All wheel,-1,4.4,8.0,16,24.0,Gas,Turbo,Sedan
934,Automatic,4 wheel,-1,5.7,8.0,19,24.0,Gas,None,Truck
935,Automatic,2 wheel,Rear,3.5,6.0,19,29.0,Gas,None,Sedan
936,Automatic,2 wheel,Front,2.0,4.0,24.0,37.0,Gas,Turbo,Sedan
937,Automatic,All wheel,-1,3.0,6.0,19,24.0,Gas,Turbo,Suv-crossover
938,Automatic,4 wheel,-1,2.3,4.0,20,24.0,Gas,Turbo,Truck
939,Automatic,2 wheel,Front,2.4,4.0,26,35.0,Gas,None,Sedan
940,Automatic,2 wheel,Front,1.8,4.0,27,35.0,Gas,None,Sedan
941,Automatic,4 wheel,-1,3.5,6.0,18,22.0,Gas,None,Truck
942,Automatic,4 wheel,-1,3.0,6.0,22,28.0,Diesel,Turbo,Truck
943,Automatic,2 wheel,Front,3.6,6.0,17,25.0,Flexible,None,Van
944,Automatic,4 wheel,-1,1.5,3.0,25,28.0,Gas,Turbo,Suv-crossover
945,Automatic,All wheel,-1,2.0,4.0,24,33.0,Gas,Turbo,Convertible
